account_id,customer_id,account_type,opening_balance,status
1,1,Checking,7255.89,Active
2,1,Checking,18363.45,Active
3,2,Savings,1137.68,Active
4,2,Savings,5683.94,Active
5,3,Savings,8723.93,Active
6,4,Savings,17900.51,Active
7,5,Savings,12396.35,Active
8,6,Savings,16715.60,Dormant
9,6,Checking,9928.40,Active
10,7,Savings,19475.60,Active
11,8,Checking,10732.60,Active
12,9,Savings,5956.33,Active
13,9,Savings,12891.86,Active
14,10,Checking,5814.19,Active
15,10,Savings,1447.61,Active
16,11,Checking,13187.98,Active
17,12,Savings,19688.99,Active
18,13,Savings,14929.75,Active
19,14,Savings,11319.35,Active
20,15,Checking,1214.80,Active
21,15,Savings,7346.88,Active
22,16,Savings,16116.53,Active
23,17,Savings,8611.33,Active
24,18,Checking,3013.78,Active
25,19,Checking,10475.74,Active
26,19,Checking,2257.15,Active
27,20,Savings,1168.11,Active
28,20,Checking,19770.17,Active
29,21,Savings,14761.01,Active
30,22,Savings,14540.14,Active
31,23,Checking,3072.11,Active
32,23,Savings,12955.28,Active
33,24,Checking,18547.39,Active
34,25,Savings,1193.16,Active
35,26,Checking,2603.26,Active
36,27,Checking,18531.07,Active
37,28,Savings,6528.13,Active
38,29,Savings,7085.16,Active
39,29,Checking,9182.52,Active
40,30,Savings,13873.60,Active
41,31,Checking,10150.18,Active
42,32,Checking,5729.24,Active
43,32,Checking,10649.49,Active
44,33,Savings,10233.81,Active
45,33,Checking,15792.96,Active
46,34,Checking,12846.38,Active
47,34,Savings,3792.00,Active
48,35,Savings,17007.49,Dormant
49,36,Savings,10144.27,Active
50,37,Checking,8438.97,Active
51,38,Savings,11866.61,Active
52,39,Checking,1444.96,Active
53,40,Savings,3786.21,Active
54,40,Checking,8974.91,Active
55,41,Savings,10419.44,Active
56,42,Savings,15347.54,Active
57,43,Checking,11727.24,Active
58,43,Savings,6335.81,Active
59,44,Savings,11754.93,Active
60,45,Checking,6418.01,Active
61,46,Savings,14191.97,Active
62,47,Checking,6526.34,Active
63,48,Checking,4789.79,Active
64,49,Checking,4803.00,Active
65,49,Checking,8697.33,Active
66,50,Checking,8515.10,Active
67,51,Savings,13840.99,Active
68,51,Savings,7936.40,Active
69,52,Checking,6338.03,Active
70,52,Checking,14776.86,Active
71,53,Checking,1391.69,Active
72,54,Savings,2880.09,Active
73,55,Checking,9136.27,Active
74,56,Savings,5573.06,Dormant
75,57,Checking,7732.15,Active
76,58,Savings,14383.24,Active
77,58,Checking,14174.50,Active
78,59,Checking,18722.01,Active
79,59,Savings,17094.03,Active
80,60,Checking,15139.24,Active
81,61,Savings,8040.72,Active
82,62,Checking,17379.86,Active
83,63,Savings,11944.44,Active
84,63,Checking,12759.41,Active
85,64,Savings,12629.50,Active
86,64,Savings,16641.64,Active
87,65,Savings,2081.47,Dormant
88,66,Checking,3863.29,Active
89,67,Checking,19109.79,Dormant
90,68,Savings,15453.27,Active
91,69,Savings,19810.43,Active
92,70,Savings,18410.28,Active
93,71,Checking,8142.81,Dormant
94,71,Savings,12917.44,Active
95,72,Savings,15568.74,Dormant
96,73,Savings,12984.48,Active
97,74,Savings,6817.79,Dormant
98,75,Savings,3931.70,Active
99,76,Checking,11294.65,Active
100,77,Savings,1442.98,Active
101,78,Savings,18103.87,Active
102,78,Checking,9559.93,Active
103,79,Savings,5662.34,Active
104,79,Savings,15569.41,Active
105,80,Savings,14663.66,Active
106,81,Savings,17377.16,Active
107,81,Checking,15722.26,Active
108,82,Checking,8494.83,Active
109,82,Savings,2060.62,Active
110,83,Savings,1585.73,Active
111,84,Savings,14493.57,Dormant
112,85,Savings,6099.38,Active
113,85,Checking,16498.20,Active
114,86,Checking,2958.60,Active
115,87,Savings,15619.82,Active
116,88,Savings,1740.20,Active
117,88,Checking,9655.96,Active
118,89,Savings,3934.86,Active
119,90,Savings,16497.90,Active
120,90,Checking,11483.93,Active
121,91,Savings,14112.75,Dormant
122,92,Checking,9691.07,Active
123,93,Savings,3742.48,Active
124,94,Checking,9933.56,Active
125,95,Savings,14033.49,Active
126,95,Savings,2493.56,Active
127,96,Savings,18784.37,Active
128,97,Checking,12689.35,Active
129,98,Savings,2173.94,Active
130,98,Checking,19456.93,Active
