loan_id,customer_id,principal_amount,interest_rate,issue_date,status
1,126,34960.80,8.24,2024-02-12,Active
2,10,18523.33,9.16,2026-03-13,Active
3,14,41775.63,10.95,2025-10-14,Active
4,67,40179.16,8.71,2024-07-15,"Paid Off"
5,61,17352.05,9.84,2024-05-09,Active
6,149,11640.44,11.24,2024-11-14,"Paid Off"
7,46,12780.52,11.91,2025-06-24,"Paid Off"
8,129,7677.68,14.38,2026-03-13,"Paid Off"
9,139,27444.88,8.39,2024-11-19,"Paid Off"
10,114,11220.03,15.06,2026-04-12,Active
11,102,36965.80,13.21,2025-12-24,Defaulted
12,100,36237.49,7.92,2025-05-17,Active
13,27,18849.30,14.00,2024-06-03,"Paid Off"
14,65,32242.15,9.88,2026-02-17,Active
15,37,16425.65,6.68,2024-07-13,"Paid Off"
16,110,21307.59,13.17,2024-10-30,Defaulted
17,54,33123.77,14.85,2025-06-15,Defaulted
18,38,38973.94,8.58,2024-03-15,Active
19,99,40503.36,14.89,2026-03-26,Defaulted
20,6,32916.69,9.55,2025-09-22,"Paid Off"
21,57,9491.99,8.79,2025-08-24,Defaulted
22,12,31337.91,15.39,2025-07-28,"Paid Off"
23,32,36953.51,13.94,2026-03-22,Active
24,62,31460.48,10.25,2026-03-25,Active
25,39,9381.38,10.75,2026-01-17,Defaulted
26,36,24808.20,10.33,2024-10-18,Active
27,33,41188.19,12.94,2026-04-28,"Paid Off"
28,119,44801.60,12.41,2025-05-03,Active
29,42,25682.56,11.26,2026-01-05,"Paid Off"
30,66,21214.92,7.64,2024-03-30,"Paid Off"
31,22,35997.01,10.08,2025-11-06,Active
32,2,10230.05,11.90,2024-10-06,Active
33,45,17478.20,7.71,2025-05-26,Active
34,118,21787.57,9.96,2024-06-05,Active
35,44,9323.44,12.81,2024-12-29,Defaulted
36,138,43129.87,11.29,2025-04-21,Defaulted
37,49,46354.78,7.86,2025-08-20,"Paid Off"
38,53,45545.65,8.44,2026-04-13,"Paid Off"
39,86,10237.50,6.96,2026-03-08,Active
40,71,44258.51,9.74,2026-02-14,"Paid Off"
41,59,15665.92,11.23,2025-09-18,"Paid Off"
42,148,36324.73,9.01,2025-11-02,Defaulted
43,43,33920.25,9.82,2025-03-28,Active
44,16,17426.04,8.79,2024-07-17,Defaulted
45,141,44718.35,14.13,2025-06-25,Defaulted
46,47,48356.95,13.98,2025-03-20,Defaulted
47,96,35207.43,8.20,2024-04-18,Active
48,95,8848.29,11.09,2024-09-07,Active
49,103,8934.85,13.40,2024-08-20,"Paid Off"
50,135,21255.28,8.19,2025-09-08,Active
51,77,33800.18,12.83,2024-10-28,"Paid Off"
52,19,19337.85,14.03,2024-02-14,Defaulted
53,145,32290.04,12.34,2024-10-24,"Paid Off"
54,131,33583.38,10.09,2024-05-06,"Paid Off"
55,69,28258.78,13.98,2024-03-27,"Paid Off"
56,122,48297.52,12.90,2026-02-06,"Paid Off"
57,98,14518.85,14.66,2024-11-29,Active
58,125,26171.35,12.41,2025-03-25,"Paid Off"
59,29,46831.06,8.09,2025-07-29,Active
60,124,36191.19,10.72,2024-08-20,Active
