transaction_id,account_id,transaction_date,transaction_hour,amount,transcation_type,category
1,1,2026-03-22,20,384.51,Debit,"Loan Payment"
2,1,2026-03-27,5,442.24,Debit,Shopping
3,1,2026-04-04,14,433.88,Debit,Shopping
4,1,2026-04-07,7,484.33,Credit,Shopping
5,1,2026-04-07,18,209.03,Debit,Travel
6,1,2026-04-10,11,321.30,Debit,"Loan Payment"
7,1,2026-04-18,18,341.62,Debit,Utilities
8,1,2026-04-19,14,114.40,Debit,Transfer
9,1,2026-05-04,18,352.87,Debit,Dining
10,1,2026-05-05,15,514.09,Credit,Shopping
11,1,2026-05-10,21,269.07,Debit,"ATM Withdrawal"
12,1,2026-05-15,11,115.06,Debit,Travel
13,1,2026-05-27,12,528.11,Debit,Dining
14,1,2026-05-27,16,210.20,Debit,Travel
15,1,2026-06-01,6,227.76,Debit,Travel
16,1,2026-06-02,11,286.01,Debit,Groceries
17,1,2026-06-11,12,196.64,Debit,Utilities
18,1,2026-06-14,14,302.19,Debit,"Loan Payment"
19,1,2026-06-21,6,135.38,Credit,Dining
20,1,2026-06-23,11,275.43,Debit,Groceries
21,1,2026-06-24,15,319.94,Credit,Travel
22,1,2026-06-30,14,174.20,Credit,"ATM Withdrawal"
23,2,2026-03-04,17,106.64,Debit,Transfer
24,2,2026-03-20,16,79.84,Debit,Groceries
25,2,2026-03-25,23,52.43,Debit,Transfer
26,2,2026-03-26,21,120.80,Credit,Groceries
27,2,2026-03-26,13,92.49,Credit,Groceries
28,2,2026-03-28,15,132.14,Debit,Groceries
29,2,2026-03-29,17,70.08,Debit,Travel
30,2,2026-04-01,14,77.18,Debit,Shopping
31,2,2026-04-03,12,59.26,Debit,Transfer
32,2,2026-04-05,17,98.96,Credit,"Loan Payment"
33,2,2026-04-07,14,113.72,Credit,"ATM Withdrawal"
34,2,2026-04-07,8,27.91,Credit,"ATM Withdrawal"
35,2,2026-04-08,14,81.78,Debit,Transfer
36,2,2026-04-09,15,44.06,Debit,Transfer
37,2,2026-04-14,18,61.35,Credit,Groceries
38,2,2026-04-15,10,135.19,Debit,Utilities
39,2,2026-04-17,14,136.50,Debit,Dining
40,2,2026-04-23,15,85.05,Debit,Travel
41,2,2026-04-24,12,104.66,Debit,Dining
42,2,2026-04-26,12,119.46,Debit,Shopping
43,2,2026-04-26,10,66.51,Debit,Groceries
44,2,2026-04-29,17,31.18,Debit,Shopping
45,2,2026-04-30,12,101.28,Credit,"Loan Payment"
46,2,2026-04-30,15,59.01,Debit,Dining
47,2,2026-05-04,13,86.28,Debit,"Loan Payment"
48,2,2026-05-05,19,74.12,Debit,"ATM Withdrawal"
49,2,2026-05-05,17,89.22,Debit,Shopping
50,2,2026-05-11,20,86.15,Debit,Groceries
51,2,2026-05-13,15,150.34,Debit,"Loan Payment"
52,2,2026-05-17,15,111.45,Debit,Shopping
53,2,2026-05-21,14,119.65,Debit,"ATM Withdrawal"
54,2,2026-05-29,18,54.17,Debit,Transfer
55,2,2026-06-08,16,105.30,Debit,Dining
56,2,2026-06-10,11,66.07,Debit,Groceries
57,2,2026-06-12,23,116.37,Debit,Dining
58,2,2026-06-20,7,93.31,Debit,Groceries
59,2,2026-06-21,17,101.84,Debit,"Loan Payment"
60,2,2026-06-24,9,64.60,Credit,Shopping
61,2,2026-06-28,16,34.24,Debit,"ATM Withdrawal"
62,2,2026-06-28,11,95.63,Debit,"ATM Withdrawal"
63,2,2026-06-28,8,97.68,Debit,"Loan Payment"
64,2,2026-06-29,10,73.29,Debit,Dining
65,2,2026-06-30,12,92.76,Debit,Utilities
66,3,2026-03-04,16,163.77,Debit,"Loan Payment"
67,3,2026-03-07,16,62.01,Debit,"ATM Withdrawal"
68,3,2026-03-08,6,191.72,Debit,"ATM Withdrawal"
69,3,2026-03-13,19,191.93,Debit,Shopping
70,3,2026-03-14,10,216.11,Debit,Transfer
71,3,2026-03-15,6,111.76,Debit,Shopping
72,3,2026-03-22,19,191.69,Debit,Dining
73,3,2026-03-23,9,68.31,Debit,Transfer
74,3,2026-03-24,12,156.75,Debit,Dining
75,3,2026-03-26,6,160.97,Debit,Travel
76,3,2026-03-30,16,248.68,Debit,Transfer
77,3,2026-03-30,14,83.52,Credit,"Loan Payment"
78,3,2026-03-30,14,220.90,Debit,Utilities
79,3,2026-04-02,7,220.06,Credit,Utilities
80,3,2026-04-02,14,112.63,Credit,Shopping
81,3,2026-04-03,11,180.76,Debit,"Loan Payment"
82,3,2026-04-10,17,90.50,Debit,Dining
83,3,2026-04-19,14,120.19,Debit,"ATM Withdrawal"
84,3,2026-04-25,16,136.50,Debit,Travel
85,3,2026-04-28,10,131.28,Credit,Dining
86,3,2026-05-03,12,50.16,Debit,Transfer
87,3,2026-05-06,16,177.33,Debit,Transfer
88,3,2026-05-07,15,268.39,Debit,Dining
89,3,2026-05-08,13,274.17,Debit,Travel
90,3,2026-05-11,10,124.11,Debit,"ATM Withdrawal"
91,3,2026-05-12,18,225.03,Credit,"Loan Payment"
92,3,2026-05-15,8,162.82,Debit,Utilities
93,3,2026-05-17,10,174.08,Debit,Dining
94,3,2026-05-20,17,134.22,Debit,Travel
95,3,2026-05-21,14,135.83,Debit,Shopping
96,3,2026-05-25,17,325.92,Debit,"Loan Payment"
97,3,2026-05-29,9,127.15,Debit,Groceries
98,3,2026-06-01,16,44.57,Debit,Travel
99,3,2026-06-07,14,164.73,Debit,Transfer
100,3,2026-06-08,16,205.89,Debit,"Loan Payment"
101,3,2026-06-11,12,99.02,Debit,Dining
102,3,2026-06-11,10,125.11,Debit,Dining
103,3,2026-06-23,16,249.94,Debit,"Loan Payment"
104,3,2026-06-27,13,235.86,Debit,"ATM Withdrawal"
105,3,2026-06-28,14,110.70,Credit,Shopping
106,4,2026-03-12,15,173.22,Debit,Utilities
107,4,2026-03-29,10,184.16,Debit,"ATM Withdrawal"
108,4,2026-03-30,13,175.51,Debit,Groceries
109,4,2026-03-31,12,154.00,Debit,"Loan Payment"
110,4,2026-04-29,4,231.15,Debit,Shopping
111,4,2026-05-03,5,311.59,Debit,"Loan Payment"
112,4,2026-05-05,22,91.42,Debit,Travel
113,4,2026-05-28,20,107.99,Debit,Shopping
114,4,2026-06-06,17,275.32,Debit,Transfer
115,4,2026-06-09,13,304.79,Debit,"ATM Withdrawal"
116,4,2026-06-10,11,275.95,Credit,Shopping
117,4,2026-06-20,14,257.46,Credit,Utilities
118,4,2026-06-23,10,18.57,Debit,Utilities
119,4,2026-06-23,19,296.26,Debit,Utilities
120,4,2026-06-25,15,503.31,Debit,Dining
121,4,2026-06-26,15,206.86,Debit,"ATM Withdrawal"
122,4,2026-06-27,13,236.95,Debit,Travel
123,5,2026-03-12,22,191.76,Debit,Travel
124,5,2026-03-14,17,168.90,Debit,Utilities
125,5,2026-04-01,8,116.71,Debit,Groceries
126,5,2026-04-01,4,94.68,Credit,Shopping
127,5,2026-04-18,12,165.81,Debit,Shopping
128,5,2026-05-02,10,137.45,Debit,"Loan Payment"
129,5,2026-05-05,18,211.14,Debit,Transfer
130,5,2026-05-13,14,175.91,Credit,"ATM Withdrawal"
131,5,2026-05-15,11,248.82,Credit,Groceries
132,5,2026-05-18,15,198.17,Debit,Dining
133,5,2026-05-22,15,163.91,Debit,Travel
134,5,2026-05-28,10,103.08,Debit,"Loan Payment"
135,5,2026-05-28,10,183.49,Credit,Transfer
136,5,2026-05-31,16,52.95,Debit,Dining
137,5,2026-06-03,11,141.28,Debit,"Loan Payment"
138,5,2026-06-08,19,105.63,Debit,Transfer
139,5,2026-06-17,15,232.89,Debit,"ATM Withdrawal"
140,5,2026-06-24,12,256.31,Debit,"Loan Payment"
141,5,2026-06-25,14,192.71,Debit,Groceries
142,6,2026-03-06,19,269.61,Debit,Transfer
143,6,2026-03-12,20,133.11,Debit,Dining
144,6,2026-03-24,12,180.91,Credit,Shopping
145,6,2026-03-28,13,315.13,Debit,Groceries
146,6,2026-03-31,14,334.59,Credit,Travel
147,6,2026-04-06,12,292.81,Debit,Travel
148,6,2026-04-15,19,279.60,Debit,Utilities
149,6,2026-04-18,14,63.89,Credit,"Loan Payment"
150,6,2026-04-28,12,209.92,Debit,Travel
151,6,2026-05-05,16,156.39,Credit,Dining
152,6,2026-05-09,15,132.73,Debit,"Loan Payment"
153,6,2026-05-10,5,142.24,Debit,Shopping
154,6,2026-05-14,10,274.76,Credit,Shopping
155,6,2026-05-26,9,294.05,Credit,"ATM Withdrawal"
156,6,2026-05-27,15,295.82,Debit,Transfer
157,6,2026-05-27,18,250.18,Credit,Transfer
158,6,2026-06-06,7,212.22,Debit,Utilities
159,6,2026-06-07,23,260.52,Debit,"Loan Payment"
160,6,2026-06-08,12,300.36,Credit,Transfer
161,6,2026-06-11,14,328.74,Debit,"ATM Withdrawal"
162,6,2026-06-12,13,351.75,Credit,Groceries
163,6,2026-06-16,13,175.90,Credit,Travel
164,6,2026-06-19,10,109.10,Credit,Dining
